compound_id,compound_name,producing_organism,mibig_cluster,canonical_smiles,lipid_tail_smiles
13,Amphisin,Pseudomonas sp. strain DSS73,,CCCCCCCC(O)CC(=O)NC(CC(C)C)C(=O)NC(CC(=O)O)C(=O)NC1C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)NC(CCC(N)=O)C(=O)NC(CC(C)C)C(=O)NC(C(C)CC)C(=O)NC(CC(=O)O)C(=O)OC1C,CCCCCCCC(O)CC(=O)O
14,Amphomycin,Actinoplanes friuliensis,,CCC(C)CCCCCC=CCC(=O)NC(CC(=O)O)C(=O)NC1C(=O)N2CCCCC2C(=O)NC(C(C)C(=O)O)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(C(C)N)C(=O)NC(C(C)C)C(=O)N2CCCC2C(=O)NC1C,CCC(C)CCCCCC=CCC(=O)O
15,Amphomycin A1437 A,Actinoplanes friuliensis|Streptomyces canus,,CC(C)CCCCCCC=CCC(=O)NC(CC(=O)O)C(=O)NC1C(=O)N2CCCCC2C(=O)NC(C(C)C(=O)O)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(C(C)N)C(=O)NC(C(C)C)C(=O)N2CCCC2C(=O)NC1C,CC(C)CCCCCCC=CCC(=O)O
16,Amphomycin A1437 B,Actinoplanes friuliensis|Streptomyces canus,,CC(C)CCCCCCCC=CCC(=O)NC(CC(=O)O)C(=O)NC1C(=O)N2CCCCC2C(=O)NC(C(C)C(=O)O)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(C(C)N)C(=O)NC(C(C)C)C(=O)N2CCCC2C(=O)NC1C,CC(C)CCCCCCCC=CCC(=O)O
17,Amphomycin A1437 D,Actinoplanes friuliensis|Streptomyces canus,,CCC(C)CCCCCCCC=CCC(=O)NC(CC(=O)O)C(=O)NC1C(=O)N2CCCCC2C(=O)NC(C(C)C(=O)O)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(C(C)N)C(=O)NC(C(C)C)C(=O)N2CCCC2C(=O)NC1C,CCC(C)CCCCCCCC=CCC(=O)O
18,Amphomycin A1437 E,Actinoplanes friuliensis|Streptomyces canus,,CCC(C)CCCCCC=CCC(=O)NC(CC(=O)O)C(=O)NC1C(=O)N2CCCCC2C(=O)NC(C(C)C(=O)O)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(C(C)N)C(=O)NC(C(C)C)C(=O)N2CCCC2C(=O)NC1C,CCC(C)CCCCCC=CCC(=O)O
19,Anabaenolysin A,Anabaena sp.,,CCC=CC=CCCC=CC=CC=CCC1NC(=O)CNC(=O)CNC(=O)C(O)C2OC(=O)CC2NC(=O)C1O,CCC=CC=CCCC=CC=CC=CCC(NC(=O)CNC(=O)CNC(=O)C(O)C(O)C(N)CC(=O)O)C(O)C(=O)O
20,Anabaenolysin B,Anabaena sp.,,CCCCC=CCCC=CC=CC=CCC1NC(=O)CNC(=O)CNC(=O)C(O)C2OC(=O)CC2NC(=O)C1O,CCCCC=CCCC=CC=CC=CCC(NC(=O)CNC(=O)CNC(=O)C(O)C(O)C(N)CC(=O)O)C(O)C(=O)O
21,Anabaenolysin B impurity a,Anabaena sp.,,CCC=CCCCCC=CC=CC=CCC1NC(=O)CNC(=O)CNC(=O)C(O)C2OC(=O)CC2NC(=O)C1O,CCC=CCCCCC=CC=CC=CCC(NC(=O)CNC(=O)CNC(=O)C(O)C(O)C(N)CC(=O)O)C(O)C(=O)O
22,Anabaenolysin B impurity b,Anabaena sp.,,C=CCCCCCCC=CC=CC=CCC1NC(=O)CNC(=O)CNC(=O)C(O)C2OC(=O)CC2NC(=O)C1O,C=CCCCCCCC=CC=CC=CCC(NC(=O)CNC(=O)CNC(=O)C(O)C(O)C(N)CC(=O)O)C(O)C(=O)O
23,Antiadhesin,Bacillus licheniformis strain 603,,CC(C)CCCCCCCCCC1CC(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)O1,CC(C)CCCCCCCCCC(CC(=O)O)OC(=O)C(CC(C)C)NC(=O)C(CCC(=O)O)NC(=O)C(NC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(N)CC(=O)O)C(C)C)C(C)C
28,Antibiotic 3127,Emericella nidulans sp. F-3127,,CCCCCCCCCC(O)CC(=O)NC(CC(N)=O)C(=O)NC(CCC(N)=O)C(=O)NC(C=O)C(C)C,CCCCCCCCCC(O)CC(=O)NC(CC(N)=O)C(=O)NC(CCC(N)=O)C(=O)NC(C=O)C(C)C
32,Antibiotic A 21978C1,Streptomyces roseosporus NRRL 11379,,CCC(C)CCCCCCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(N)=O)C(=O)NC(CC(=O)O)C(=O)NC1C(=O)NCC(=O)NC(CCCN)C(=O)NC(CC(=O)O)C(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CO)C(=O)NC(C(C)CC(=O)O)C(=O)NC(CC(=O)c2ccccc2N)C(=O)OC1C,CCC(C)CCCCCCC(=O)O
33,Antibiotic A 21978C2,Streptomyces roseosporus NRRL 11379,,CC(C)CCCCCCCCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(N)=O)C(=O)NC(CC(=O)O)C(=O)NC1C(=O)NCC(=O)NC(CCCN)C(=O)NC(CC(=O)O)C(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CO)C(=O)NC(C(C)CC(=O)O)C(=O)NC(CC(=O)c2ccccc2N)C(=O)OC1C,CC(C)CCCCCCCCC(=O)O
34,Antibiotic A 21978C3,Streptomyces roseosporus NRRL 11379,,CCC(C)CCCCCCCCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(N)=O)C(=O)NC(CC(=O)O)C(=O)NC1C(=O)NCC(=O)NC(CCCN)C(=O)NC(CC(=O)O)C(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CO)C(=O)NC(C(C)CC(=O)O)C(=O)NC(CC(=O)c2ccccc2N)C(=O)OC1C,CCC(C)CCCCCCCCC(=O)O
46,Antibiotic FR 901379,Coleophoma empetri F-11899,,CCCCCCCCCCCCCCCC(=O)NC1CC(O)C(O)NC(=O)C2C(O)C(C)CN2C(=O)C(C(O)CC(N)=O)NC(=O)C(C(O)C(O)c2ccc(O)c(OS(=O)(=O)O)c2)NC(=O)C2CC(O)CN2C(=O)C(C(C)O)NC1=O,CCCCCCCCCCCCCCCC(=O)O
47,Antibiotic FR 901381,Coleophoma empetri ,,CCCCCCCCCCCCCCCC(=O)NC1CC(O)C(O)NC(=O)C2C(O)C(C)CN2C(=O)C(C(O)CC(N)=O)NC(=O)C(C(O)Cc2ccc(O)c(OS(=O)(=O)O)c2)NC(=O)C2CC(O)CN2C(=O)C(C(C)O)NC1=O,CCCCCCCCCCCCCCCC(=O)O
48,Antibiotic FR 901382,Coleophoma empetri ,,CCCCCCCCCCCCCCCC(=O)NC1CC(O)C(O)NC(=O)C2C(O)C(C)CN2C(=O)C(C(O)CC(N)=O)NC(=O)C(CCc2ccc(O)c(OS(=O)(=O)O)c2)NC(=O)C2CC(O)CN2C(=O)C(C(C)O)NC1=O,CCCCCCCCCCCCCCCC(=O)O
58,Antibiotic S 31794F1,Acrophialophora limonispora nov. sp. NRRL 8095,,CCCCCCCCCCCCCC(=O)NC1CC(O)C(O)NC(=O)C2C(O)C(C)CN2C(=O)C(C(O)CC(N)=O)NC(=O)C(C(O)C(O)c2ccc(O)cc2)NC(=O)C2CC(O)CN2C(=O)C(C(C)O)NC1=O,CCCCCCCCCCCCCC(=O)O
59,Antibiotic Sch 419558,Pseudomonas fluorescens,,CCCCCCC=CCCCCCCCC(=O)C(O)NC(=O)C(NC(=O)C(NC(C)=O)C(C)O)C(C)C,CCCCCCC=CCCCCCCCC(=O)C(O)NC(=O)C(NC(=O)C(NC(C)=O)C(C)O)C(C)C
60,Antibiotic Sch 419559,Pseudomonas fluorescens,,CCCCCCCCCCCCCC(=O)C(O)NC(=O)C(NC(=O)C(NC(C)=O)C(C)O)C(C)C,CCCCCCCCCCCCCC(=O)C(O)NC(=O)C(NC(=O)C(NC(C)=O)C(C)O)C(C)C
61,Antibiotic Sch 466432,Paecilomyces varioti SCF 1559,,CCCCCCCCCCCC(=O)C(C)C(=O)N1CCCC1C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(C)C(=O)NC(C)C(=O)NC(C)(C)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(C)(C)C(=O)NC(C)C(=O)NC(C)C(=O)NC(C)(C)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)NC(C)(C)C(=O)NCC(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(C)C(=O)O,CCCCCCCCCCCC(=O)C(C)C(=O)O
62,Antibiotic Sch 466456,Unidentified fungus,,CCCCCCCCCCCC(=O)C(C)C(=O)N1CCCC1C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(C)C(=O)NC(C)(C)C(=O)NC(C)C(=O)NC(C(=O)NC(C)(C)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)NC(C)(C)C(=O)NCC(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(C)C(=O)NC(C)C(=O)NC(C)(C)C(=O)O)C(C)C,CCCCCCCCCCCC(=O)C(C)C(=O)O
63,Antibiotic Sch 466457,Unidentified fungus,,CCCCCCCCCCCC(=O)C(C)C(=O)N1CCCC1C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(C)C(=O)NC(C)(C)C(=O)NC(C)C(=O)NC(C(=O)NC(C)(C)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)NC(C)(C)C(=O)NCC(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(C)C(=O)NC(C)C(=O)O)C(C)C,CCCCCCCCCCCC(=O)C(C)C(=O)O
65,Antibiotic WF 14573A,Coleophoma empetri ,,CCCCCCCCCCCCCCCC(=O)NC1CC(O)C(O)NC(=O)C2C(O)CCN2C(=O)C(C(O)CC(N)=O)NC(=O)C(C(O)Cc2ccc(OS(=O)(=O)O)c(O)c2)NC(=O)C2CC(O)CN2C(=O)C(C(C)O)NC1=O,CCCCCCCCCCCCCCCC(=O)O
66,Antibiotic WF 14573B,Coleophoma empetri ,,CCCCCCCCCCCCCCCC(=O)NC1CC(O)C(O)NC(=O)C2C(O)C(C)CN2C(=O)C(C(O)CC(N)=O)NC(=O)C(C(O)Cc2ccc(OS(=O)(=O)O)c(O)c2)NC(=O)C2CC(O)CN2C(=O)C(C(C)O)NC1=O,CCCCCCCCCCCCCCCC(=O)O
67,Antibiotic WF 16616,Tolypocladium paraciticum sp. 16616,,CCC(C)CC(C)CCCCCCCCC(=O)NC1CC(O)C(O)NC(=O)C2C(O)C(C)CN2C(=O)C(C(O)CC(N)=O)NC(=O)C(C(O)C(O)c2ccc(O)c(OS(=O)(=O)O)c2)NC(=O)C2CC(O)CN2C(=O)C(C(C)O)NC1=O,CCC(C)CC(C)CCCCCCCCC(=O)O
68,Antibiotic WF 22210,Chalara sp. ,,CCC(C)CC(C)CCCCCCCCCCC(=O)NC1CC(O)C(O)NC(=O)C2C(O)C(C)CN2C(=O)C(C(O)CC(N)=O)NC(=O)C(C(O)C(O)c2ccc(O)c(OS(=O)(=O)O)c2)NC(=O)C2CC(O)CN2C(=O)C(C(C)O)NC1=O,CCC(C)CC(C)CCCCCCCCCCC(=O)O
69,Antibiotic WF 738A,Coleophoma crateriformis ,,CCCCCCCCCCCCCCCC(=O)NC1CC(O)C(O)NC(=O)C2C(O)C(C)CN2C(=O)C(C(O)CC(N)=O)NC(=O)C(C(O)Cc2ccc(O)c(OS(=O)(=O)O)c2)NC(=O)C2CC(O)CN2C(=O)C(CO)NC1=O,CCCCCCCCCCCCCCCC(=O)O
70,Antibiotic WF 738B,Coleophoma crateriformis ,,CCCCCCCCCCCCCCCC(=O)NC1CC(O)C(O)NC(=O)C2C(O)CCN2C(=O)C(C(O)CC(N)=O)NC(=O)C(C(O)Cc2ccc(O)c(OS(=O)(=O)O)c2)NC(=O)C2CC(O)CN2C(=O)C(CO)NC1=O,CCCCCCCCCCCCCCCC(=O)O
71,Antibiotic WF 738C,Coleophoma crateriformis ,,CCCCCCCCCCCCCCCC(=O)NC1CC(O)C(O)NC(=O)C2C(O)C(C)CN2C(=O)C(C(O)CC(N)=O)NC(=O)C(CCc2ccc(O)c(OS(=O)(=O)O)c2)NC(=O)C2CC(O)CN2C(=O)C(CO)NC1=O,CCCCCCCCCCCCCCCC(=O)O
72,Antibiotic WS 1279,Streptomyces willmorei 1279,,CCCCCCCCCCCCCCCC(=O)NC(CSCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC)C(=O)NC(CC(N)=O)C(=O)NC(CO)C(=O)NCC(=O)NCC(=O)NC(CO)C(=O)O,CCCCCCCCCCCCCCCC(=O)O
75,Antibiotic YM 170320,Candida tropicalis pK233,,C=C(NC(=O)C(C)C(O)CCC(C)C(=O)C=CC(C)=CCCC(C)CCCCCC)C(=O)NCC(C)C(=O)NC(CC(O)C(N)=O)C(=O)OC,C=C(NC(=O)C(C)C(O)CCC(C)C(=O)C=CC(C)=CCCC(C)CCCCCC)C(=O)NCC(C)C(=O)NC(CC(O)C(N)=O)C(=O)OC
76,Antillatoxin B,Lyngbya majuscula,,C=C1CC(=O)NC(C)C(=O)N(C)C(CCc2ccccc2)C(=O)NCC(=O)OC(C(C)=CC(C)=CC(C)(C)C)C1C,C=C(CC(=O)O)C(C)C(OC(=O)CNC(=O)C(CCc1ccccc1)NC(=O)C(C)N)C(C)=CC(C)=CC(C)(C)C
77,Arborcandin A,Strain SANK 17397,,CCCCCCCCCC(O)CCC1NC(=O)C(C(C)O)NC(=O)C(C(C)O)NC(=O)C(CC(O)C(N)=O)NC(=O)C(C)NC(=O)C(CC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(CCCCCCCC(O)CCCC)NC(=O)CCNC(=O)CNC1=O,CCCCCCCCCC(O)CCC(NC(=O)C(NC(=O)C(NC(=O)C(CC(O)C(N)=O)NC(=O)C(C)NC(=O)C(CC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(N)CCCCCCCC(O)CCCC)C(C)O)C(C)O)C(=O)NCC(=O)NCCC(=O)O
78,Arborcandin B,Strain SANK 17397,,CCCCCCCCCC(O)CCC1NC(=O)C(C(C)O)NC(=O)C(C(C)O)NC(=O)C(CC(O)C(N)=O)NC(=O)C(C)NC(=O)C(CC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(CCCCCCCC(O)CCCCC)NC(=O)CCNC(=O)CNC1=O,CCCCCCCCCC(O)CCC(NC(=O)C(NC(=O)C(NC(=O)C(CC(O)C(N)=O)NC(=O)C(C)NC(=O)C(CC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(N)CCCCCCCC(O)CCCCC)C(C)O)C(C)O)C(=O)NCC(=O)NCCC(=O)O
79,Arborcandin C,Strain SANK 17397,,CCCCCCCCCC(O)CCC1NC(=O)C(C(C)O)NC(=O)C(C(C)O)NC(=O)C(CC(O)C(N)=O)NC(=O)C(C)NC(=O)C(CC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(CCCCCCCC(O)CCCCCC)NC(=O)CCNC(=O)CNC1=O,CCCCCCCCCC(O)CCC(NC(=O)C(NC(=O)C(NC(=O)C(CC(O)C(N)=O)NC(=O)C(C)NC(=O)C(CC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(N)CCCCCCCC(O)CCCCCC)C(C)O)C(C)O)C(=O)NCC(=O)NCCC(=O)O
80,Arborcandin D,Strain SANK 17397,,CCCCCCCCCC(O)CCC1NC(=O)C(C(C)O)NC(=O)C(C(C)O)NC(=O)C(CC(O)C(N)=O)NC(=O)C(C)NC(=O)C(CC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(CCCCCCCC(=O)CCCCCC)NC(=O)CCNC(=O)CNC1=O,CCCCCCCCCC(O)CCC(NC(=O)C(NC(=O)C(NC(=O)C(CC(O)C(N)=O)NC(=O)C(C)NC(=O)C(CC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(N)CCCCCCCC(=O)CCCCCC)C(C)O)C(C)O)C(=O)NCC(=O)NCCC(=O)O
81,Arborcandin E,Strain SANK 17397,,CCCCCCCCCCC(O)CCC1NC(=O)C(C(C)O)NC(=O)C(C(C)O)NC(=O)C(CC(O)C(N)=O)NC(=O)C(C)NC(=O)C(CC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(CCCCCCCC(O)CCCCCC)NC(=O)CCNC(=O)CNC1=O,CCCCCCCCCCC(O)CCC(NC(=O)C(NC(=O)C(NC(=O)C(CC(O)C(N)=O)NC(=O)C(C)NC(=O)C(CC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(N)CCCCCCCC(O)CCCCCC)C(C)O)C(C)O)C(=O)NCC(=O)NCCC(=O)O
82,Arborcandin F,Strain SANK 17397,,CCCCCCCCCCCC(O)CCC1NC(=O)C(C(C)O)NC(=O)C(C(C)O)NC(=O)C(CC(O)C(N)=O)NC(=O)C(C)NC(=O)C(CC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(CCCCCCCC(O)CCCCCC)NC(=O)CCNC(=O)CNC1=O,CCCCCCCCCCCC(O)CCC(NC(=O)C(NC(=O)C(NC(=O)C(CC(O)C(N)=O)NC(=O)C(C)NC(=O)C(CC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(N)CCCCCCCC(O)CCCCCC)C(C)O)C(C)O)C(=O)NCC(=O)NCCC(=O)O
83,Arthrofactin A,Pseudomonas sp. MIS38,BGC0000305,CCCCCCCC(O)CC(=O)NC(CC(C)C)C(=O)NC(CC(=O)O)C(=O)NC1C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(C(C)CC)C(=O)NC(C(C)CC)C(=O)NC(CC(=O)O)C(=O)OC1C,CCCCCCCC(O)CC(=O)O
84,Arthrofactin B,Pseudomonas sp. MIS38,BGC0000305,CCCCCCCC(O)CC(=O)NC(CC(C)C)C(=O)NC(CC(=O)O)C(=O)NC1C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(C(C)CC)C(=O)NC(C(C)CC)C(=O)NC(CCC(=O)O)C(=O)OC1C,CCCCCCCC(O)CC(=O)O
85,Arthrofactin C possible,Pseudomonas sp. MIS38,BGC0000305,CCCCCCC=CCC(O)CC(=O)NC(CC(C)C)C(=O)NC(CC(=O)O)C(=O)NC1C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(C(C)CC)C(=O)NC(C(C)CC)C(=O)NC(CC(=O)O)C(=O)OC1C,CCCCCCC=CCC(O)CC(=O)O
86,Arthrofactin D,Pseudomonas sp. MIS38,BGC0000305,CCCCCCCCCC(O)CC(=O)NC(CC(C)C)C(=O)NC(CC(=O)O)C(=O)NC1C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(C(C)CC)C(=O)NC(C(C)CC)C(=O)NC(CC(=O)O)C(=O)OC1C,CCCCCCCCCC(O)CC(=O)O
87,Arylomycin,Streptomyces roseosporus NRRL 11379,BGC0000306,CCCCCCCCCCCCCCCC(=O)N(C)C(CO)C(=O)NC(C)C(=O)NCC(=O)N(C)C1C(=O)NC(C)C(=O)NC(C(=O)O)Cc2ccc(O)c(c2)-c2cc1ccc2O,CCCCCCCCCCCCCCCC(=O)O
88,Arylomycin A1,Streptomyces sp. Tu 6075,BGC0000306,CC(C)CCCCCCCC(=O)N(C)C(CO)C(=O)NC(C)C(=O)NCC(=O)N(C)C1C(=O)NC(C)C(=O)NC(C(=O)O)Cc2ccc(O)c(c2)-c2cc1ccc2O,CC(C)CCCCCCCC(=O)O
89,Arylomycin A2,Streptomyces sp. Tu 6075,BGC0000306,CC(C)CCCCCCCCC(=O)N(C)C(CO)C(=O)NC(C)C(=O)NCC(=O)N(C)C1C(=O)NC(C)C(=O)NC(C(=O)O)Cc2ccc(O)c(c2)-c2cc1ccc2O,CC(C)CCCCCCCCC(=O)O
90,Arylomycin A3,Streptomyces sp. Tu 6075,BGC0000306,CCCCCCCCCCCC(=O)N(C)C(CO)C(=O)NC(C)C(=O)NCC(=O)N(C)C1C(=O)NC(C)C(=O)NC(C(=O)O)Cc2ccc(O)c(c2)-c2cc1ccc2O,CCCCCCCCCCCC(=O)O
91,Arylomycin A4,Streptomyces sp. Tu 6075,BGC0000306,CCC(C)CCCCCCCCC(=O)N(C)C(CO)C(=O)NC(C)C(=O)NCC(=O)N(C)C1C(=O)NC(C)C(=O)NC(C(=O)O)Cc2ccc(O)c(c2)-c2cc1ccc2O,CCC(C)CCCCCCCCC(=O)O
92,Arylomycin A5,Streptomyces sp. Tu 6075,BGC0000306,CC(C)CCCCCCCCCCC(=O)N(C)C(CO)C(=O)NC(C)C(=O)NCC(=O)N(C)C1C(=O)NC(C)C(=O)NC(C(=O)O)Cc2ccc(O)c(c2)-c2cc1ccc2O,CC(C)CCCCCCCCCCC(=O)O
93,Arylomycin B1,Streptomyces sp. Tu 6075,BGC0000306,CC(C)CCCCCCCC(=O)N(C)C(CO)C(=O)NC(C)C(=O)NCC(=O)N(C)C1C(=O)NC(C)C(=O)NC(C(=O)O)Cc2cc(c(O)c([N+](=O)[O-])c2)-c2cc1ccc2O,CC(C)CCCCCCCC(=O)O
94,Arylomycin B2,Streptomyces sp. Tu 6075,BGC0000306,CC(C)CCCCCCCCC(=O)N(C)C(CO)C(=O)NC(C)C(=O)NCC(=O)N(C)C1C(=O)NC(C)C(=O)NC(C(=O)O)Cc2cc(c(O)c([N+](=O)[O-])c2)-c2cc1ccc2O,CC(C)CCCCCCCCC(=O)O
